Title,Year
The Mask: The Origin,1995
Come Fly with Us,1974
Deep Throat Part II,1974
Fringe Benefits,1974
Invasion of the Love Drones,1977
Is There Sex After Death?,1971
Lady on the Couch,1974
Naked Came the Stranger,1975
Sex Fantasies,1975
Stigma,1972
Teenage Hitchhikers,1975
The $50000 Climax Show,1975
The Big Con,1975
The Defiance of Good,1975
The Love Bus,1974
The Mount of Venus,1975
The New York City Woman,1977
The Passions of Carol,1975
The Private Afternoons of Pamela Mann,1974
The Switch or How to Alter Your Ego,1974
Whatever Happened to Miss September?,1973
My Politics My Country,2012
World Bender,2014
Disneyland,1954
StreetSmart Guide,2014
Laughs,2014
"-Pierre	Cirque du Soleil: Worlds Away",2012
The Neighborhood Ball: An Inauguration Celebration,2009
Armando Rene: Start Running,2015
Making of Salir Corriendo,2015
Memoirs of a Lifeguard,2010
The Grad Film,2015
"(I)	Love Your Mama",1990
"(II)	Market Value",2016
The Breakout Dream,2015
The Penny,2010
"(III)	Blactose Intolerance",2015
Life Outside the Rhyme,2016
Preacher Man,2015
School for Gods,????
Under Pressure,2016
The Natural,2016
Vasilissa maimou,2000
"(I)		Lights Camera Blood!",2015
Todd and the Book of Pure Evil,2010
"(II)	Guilty Pleasures",2016
Santa Rosa,2004
"(II)	Here 2 Help",2011
Here 2 Help,2011
Peter Andre: My Life,2011
Journey Among Women,1977
1 Lawan Satu,2013
Dua Kalimah,2013
Gangster Wars,2013
Mukasurat Cinta,2014
Sniper,2014
Tokak,2013
A Mystery in Carmine,2012
Hantu dalam botol kicap,2012
3 Temujanji,2012
3 2 1 cinta,2011
9-Sep,2007
Aku Kau & Dia,2012
Al-Hijab,2011
Chantek,2012
Cinta,2006
Cinta fotokopi,2005
Gol & Gincu,2005
Jangan pandang belakang,2007
Jangan tegur,2009
Krazy crazy krezy...,2009
Pontianak harum sundal malam 2,2005
Potret mistik,2005
Salon,2005
Sepi,2008
Seru,2011
Strawberi cinta,2012
X,2012
Gol & Gincu: The Series,2006
The Doom of the Netherlands,2021
